,Month,Year,Category,ProvidedValue,Country
11237,5,2017,Fossil_Gas,5728.43,DE
11238,5,2017,Fossil_Hard_coal,6717.96,DE
11239,5,2017,Fossil_Oil,265.7,DE
11240,5,2017,Fossil_Oil_shale,,DE
11241,5,2017,Fossil_Peat,,DE
11242,5,2017,Geothermal,11.58,DE
11243,5,2017,Hydro_Pure_pumped_Storage,456.34,DE
11244,5,2017,Hydro_RunOfRiver_and_poundage,1880.9,DE
11245,5,2017,Hydro_Pure_storage,51.57,DE
11246,5,2017,Hydro_Marine,,DE
11247,5,2017,Nuclear,5645.53,DE
11248,5,2017,Other_renewable,113.4,DE
11249,5,2017,Wind_offshore,1207.41,DE
11250,5,2017,Wind_onshore,4445.5,DE
11251,5,2017,Non_identified_net_gen,,DE
11252,5,2017,Imports,2372.41,DE
11253,5,2017,Exports,6199.77,DE
11254,5,2017,Biogas,,DE
11255,5,2017,Fossil_Mixed_fuels,374.18,DE
11256,5,2017,Fossil_Other,,DE
11257,5,2017,Hydro_Mixed_pumped_storage_non_renewable,30.71,DE
11258,5,2017,Hydro_Mixed_pumped_storage_renewable,,DE
11259,5,2017,Other_non_renewable,,DE
11260,5,2017,Solar_PV,5097.34,DE
11261,5,2017,Solar_Thermal,,DE
11262,5,2017,Waste_non_renewable,409.16,DE
11263,5,2017,Waste_renewable,409.16,DE
11264,5,2017,Consumption_of_pumps,638.88,DE
11265,5,2017,Transmission losses,607.96,DE
11266,6,2017,Biomass,3170.44,DE
11267,6,2017,Fossil_Brown_coal_Lignite,10780.96,DE
11268,6,2017,Fossil_Coal_derived_gas,,DE
11269,6,2017,Fossil_Gas,4445.16,DE
11270,6,2017,Fossil_Hard_coal,4845.63,DE
11271,6,2017,Fossil_Oil,319.43,DE
11272,6,2017,Fossil_Oil_shale,,DE
11273,6,2017,Fossil_Peat,,DE
11274,6,2017,Geothermal,9.97,DE
11275,6,2017,Hydro_Pure_pumped_Storage,459.06,DE
11276,6,2017,Hydro_RunOfRiver_and_poundage,1589.9,DE
11277,6,2017,Hydro_Pure_storage,55.47,DE
11278,6,2017,Hydro_Marine,,DE
11279,6,2017,Nuclear,6343.61,DE
11280,6,2017,Other_renewable,104.02,DE
